{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(439.4855310288997), 'rmse': np.float64(20.96391020370245), 'r2': 0.8918664571882811}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(332.5624007612326), 'rmse': np.float64(18.23629350392323), 'r2': 0.9178365170661195}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(294.90706966086475), 'rmse': np.float64(17.172858517464842), 'r2': 0.928363736179188}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(352.73167881586966), 'rmse': np.float64(18.78115222279692), 'r2': 0.9128534578584712}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(408.94185438705756), 'rmse': np.float64(20.222310807300374), 'r2': 0.9006633967712884}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(309.30200688021955), 'rmse': np.float64(17.58698401887656), 'r2': 0.9238975587559595}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(434.5853569059249), 'rmse': np.float64(20.846710937361916), 'r2': 0.8944342998769896}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(439.29930250294234), 'rmse': np.float64(20.95946808730943), 'r2': 0.8919122779238061}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(297.89604756618775), 'rmse': np.float64(17.25966533760686), 'r2': 0.9276376796284701}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(356.07453204192507), 'rmse': np.float64(18.86993725590854), 'r2': 0.9120275663465}
