{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(322.0140094032313), 'rmse': np.float64(17.944748797440194), 'r2': 0.9217791538258653}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(428.9040818315198), 'rmse': np.float64(20.70999956135972), 'r2': 0.8940341628302805}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(334.43769873474423), 'rmse': np.float64(18.287637866458976), 'r2': 0.9177130288468855}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(370.2947746647419), 'rmse': np.float64(19.243044838713594), 'r2': 0.9085142868555502}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(454.61358881865897), 'rmse': np.float64(21.32166946603054), 'r2': 0.8895692157445035}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(328.0971657885003), 'rmse': np.float64(18.113452619213717), 'r2': 0.9192730899692316}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(465.86473052614906), 'rmse': np.float64(21.583899798834988), 'r2': 0.8868361861275128}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(318.64602510854616), 'rmse': np.float64(17.85065895446289), 'r2': 0.9212747226203964}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(340.34547638794925), 'rmse': np.float64(18.448454579935667), 'r2': 0.916259445320963}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(388.70464930448173), 'rmse': np.float64(19.715594064204147), 'r2': 0.9039659091155688}
